colour	x	y	label	showSelectedlegendcolourfill	clickSelects	showSelected1	PANEL	group
#FB61D7	1959.5	35.8631463414634	Burkina Faso	Sub-Saharan Africa (all income levels)	Burkina Faso	Burkina Faso	4	159
#FB61D7	1959.5	41.2365365853659	Burundi	Sub-Saharan Africa (all income levels)	Burundi	Burundi	4	160
#F8766D	1959.5	42.4041463414634	Cambodia	East Asia & Pacific (all income levels)	Cambodia	Cambodia	4	3
#FB61D7	1959.5	41.523756097561	Cameroon	Sub-Saharan Africa (all income levels)	Cameroon	Cameroon	4	161
#00B6EB	1959.5	71.1331707317073	Canada	North America	Canada	Canada	4	146
#FB61D7	1959.5	48.672	Cape Verde	Sub-Saharan Africa (all income levels)	Cape Verde	Cape Verde	4	162
#FB61D7	1959.5	36.4826341463415	Central African Republic	Sub-Saharan Africa (all income levels)	Central African Republic	Central African Republic	4	163
#FB61D7	1959.5	40.2428292682927	Chad	Sub-Saharan Africa (all income levels)	Chad	Chad	4	164
#C49A00	1959.5	70.6397804878049	Channel Islands	Europe & Central Asia (all income levels)	Channel Islands	Channel Islands	4	42
#53B400	1959.5	57.0162926829268	Chile	Latin America & Caribbean (all income levels)	Chile	Chile	4	94
#F8766D	1959.5	43.4578780487805	China	East Asia & Pacific (all income levels)	China	China	4	4
#53B400	1959.5	56.7129268292683	Colombia	Latin America & Caribbean (all income levels)	Colombia	Colombia	4	95
#FB61D7	1959.5	43.4419512195122	Comoros	Sub-Saharan Africa (all income levels)	Comoros	Comoros	4	165
#FB61D7	1959.5	41.0180487804878	Congo, Dem. Rep.	Sub-Saharan Africa (all income levels)	Congo, Dem. Rep.	Congo, Dem. Rep.	4	166
#FB61D7	1959.5	48.5835609756098	Congo, Rep.	Sub-Saharan Africa (all income levels)	Congo, Rep.	Congo, Rep.	4	167
#53B400	1959.5	61.6029512195122	Costa Rica	Latin America & Caribbean (all income levels)	Costa Rica	Costa Rica	4	96
#FB61D7	1959.5	40.4241951219512	Cote d'Ivoire	Sub-Saharan Africa (all income levels)	Cote d'Ivoire	Cote d'Ivoire	4	168
#C49A00	1959.5	65.9691219512195	Croatia	Europe & Central Asia (all income levels)	Croatia	Croatia	4	43
#53B400	1959.5	63.6626585365854	Cuba	Latin America & Caribbean (all income levels)	Cuba	Cuba	4	97
#53B400	1959.5	74.709756097561	Curacao	Latin America & Caribbean (all income levels)	Curacao	Curacao	4	98
#C49A00	1959.5	69.5906097560976	Cyprus	Europe & Central Asia (all income levels)	Cyprus	Cyprus	4	44
#C49A00	1959.5	70.3487804878049	Czech Republic	Europe & Central Asia (all income levels)	Czech Republic	Czech Republic	4	45
#C49A00	1959.5	72.1765853658537	Denmark	Europe & Central Asia (all income levels)	Denmark	Denmark	4	46
#00C094	1959.5	38.536	Djibouti	Middle East & North Africa (all income levels)	Djibouti	Djibouti	4	126
#53B400	1959.5	71.4634146341463	Dominica	Latin America & Caribbean (all income levels)	Dominica	Dominica	4	99
#53B400	1959.5	51.790756097561	Dominican Republic	Latin America & Caribbean (all income levels)	Dominican Republic	Dominican Republic	4	100
#53B400	1959.5	53.1200487804878	Ecuador	Latin America & Caribbean (all income levels)	Ecuador	Ecuador	4	101
#00C094	1959.5	45.9335609756098	Egypt, Arab Rep.	Middle East & North Africa (all income levels)	Egypt, Arab Rep.	Egypt, Arab Rep.	4	127
#53B400	1959.5	51.2914878048781	El Salvador	Latin America & Caribbean (all income levels)	El Salvador	El Salvador	4	102
#FB61D7	1959.5	36.7330487804878	Equatorial Guinea	Sub-Saharan Africa (all income levels)	Equatorial Guinea	Equatorial Guinea	4	169
#FB61D7	1959.5	39.1062682926829	Eritrea	Sub-Saharan Africa (all income levels)	Eritrea	Eritrea	4	170
#C49A00	1959.5	68.5777317073171	Estonia	Europe & Central Asia (all income levels)	Estonia	Estonia	4	47
#FB61D7	1959.5	38.4057073170732	Ethiopia	Sub-Saharan Africa (all income levels)	Ethiopia	Ethiopia	4	171
#F8766D	1959.5	55.9504146341463	Fiji	East Asia & Pacific (all income levels)	Fiji	Fiji	4	5
#C49A00	1959.5	68.819756097561	Finland	Europe & Central Asia (all income levels)	Finland	Finland	4	48
#C49A00	1959.5	69.8682926829268	France	Europe & Central Asia (all income levels)	France	France	4	49
#F8766D	1959.5	56.3299024390244	French Polynesia	East Asia & Pacific (all income levels)	French Polynesia	French Polynesia	4	6
#FB61D7	1959.5	39.5681707317073	Gabon	Sub-Saharan Africa (all income levels)	Gabon	Gabon	4	172
#FB61D7	1959.5	33.5446341463415	Gambia, The	Sub-Saharan Africa (all income levels)	Gambia, The	Gambia, The	4	173
#C49A00	1959.5	63.4277073170732	Georgia	Europe & Central Asia (all income levels)	Georgia	Georgia	4	50
#C49A00	1959.5	69.6202926829268	Germany	Europe & Central Asia (all income levels)	Germany	Germany	4	51
#FB61D7	1959.5	45.9767073170732	Ghana	Sub-Saharan Africa (all income levels)	Ghana	Ghana	4	174
#C49A00	1959.5	68.7255609756098	Greece	Europe & Central Asia (all income levels)	Greece	Greece	4	52
#C49A00	1959.5	65.3414634146341	Greenland	Europe & Central Asia (all income levels)	Greenland	Greenland	4	53
#53B400	1959.5	63.1079268292683	Grenada	Latin America & Caribbean (all income levels)	Grenada	Grenada	4	103
#F8766D	1959.5	61.2263414634146	Guam	East Asia & Pacific (all income levels)	Guam	Guam	4	7
#53B400	1959.5	45.7452926829268	Guatemala	Latin America & Caribbean (all income levels)	Guatemala	Guatemala	4	104
#FB61D7	1959.5	32.3641219512195	Guinea	Sub-Saharan Africa (all income levels)	Guinea	Guinea	4	175
#FB61D7	1959.5	34.5066829268293	Guinea-Bissau	Sub-Saharan Africa (all income levels)	Guinea-Bissau	Guinea-Bissau	4	176
#53B400	1959.5	52.7795853658537	Guyana	Latin America & Caribbean (all income levels)	Guyana	Guyana	4	105
#53B400	1959.5	42.0826829268293	Haiti	Latin America & Caribbean (all income levels)	Haiti	Haiti	4	106
#53B400	1959.5	46.2103170731707	Honduras	Latin America & Caribbean (all income levels)	Honduras	Honduras	4	107
#F8766D	1959.5	66.9997073170732	Hong Kong SAR, China	East Asia & Pacific (all income levels)	Hong Kong SAR, China	Hong Kong SAR, China	4	8
#C49A00	1959.5	68.0031707317073	Hungary	Europe & Central Asia (all income levels)	Hungary	Hungary	4	54
#C49A00	1959.5	73.4267073170732	Iceland	Europe & Central Asia (all income levels)	Iceland	Iceland	4	55
#A58AFF	1959.5	42.4455853658537	India	South Asia	India	India	4	151
#F8766D	1959.5	45.0732682926829	Indonesia	East Asia & Pacific (all income levels)	Indonesia	Indonesia	4	9
#00C094	1959.5	44.5774390243903	Iran, Islamic Rep.	Middle East & North Africa (all income levels)	Iran, Islamic Rep.	Iran, Islamic Rep.	4	128
#00C094	1959.5	48.8539268292683	Iraq	Middle East & North Africa (all income levels)	Iraq	Iraq	4	129
#C49A00	1959.5	69.691756097561	Ireland	Europe & Central Asia (all income levels)	Ireland	Ireland	4	56
#C49A00	1959.5	76.5292682926829	Isle of Man	Europe & Central Asia (all income levels)	Isle of Man	Isle of Man	4	57
#00C094	1959.5	72.0065853658537	Israel	Middle East & North Africa (all income levels)	Israel	Israel	4	130
#C49A00	1959.5	69.1239024390244	Italy	Europe & Central Asia (all income levels)	Italy	Italy	4	58
#53B400	1959.5	64.1918292682927	Jamaica	Latin America & Caribbean (all income levels)	Jamaica	Jamaica	4	108
#F8766D	1959.5	67.6660975609756	Japan	East Asia & Pacific (all income levels)	Japan	Japan	4	10
#00C094	1959.5	53.8540487804878	Jordan	Middle East & North Africa (all income levels)	Jordan	Jordan	4	131
#C49A00	1959.5	58.3035609756098	Kazakhstan	Europe & Central Asia (all income levels)	Kazakhstan	Kazakhstan	4	59
#FB61D7	1959.5	46.3624146341463	Kenya	Sub-Saharan Africa (all income levels)	Kenya	Kenya	4	177
#F8766D	1959.5	51.9048780487805	Kiribati	East Asia & Pacific (all income levels)	Kiribati	Kiribati	4	11
#F8766D	1959.5	55.2211707317073	Korea, Dem. Rep.	East Asia & Pacific (all income levels)	Korea, Dem. Rep.	Korea, Dem. Rep.	4	12
#F8766D	1959.5	52.9987317073171	Korea, Rep.	East Asia & Pacific (all income levels)	Korea, Rep.	Korea, Rep.	4	13
#C49A00	1959.5	65.9326829268293	Kosovo	Europe & Central Asia (all income levels)	Kosovo	Kosovo	4	60
#00C094	1959.5	61.4006829268293	Kuwait	Middle East & North Africa (all income levels)	Kuwait	Kuwait	4	132
#C49A00	1959.5	56.1123414634146	Kyrgyz Republic	Europe & Central Asia (all income levels)	Kyrgyz Republic	Kyrgyz Republic	4	61
#F8766D	1959.5	43.9777317073171	Lao PDR	East Asia & Pacific (all income levels)	Lao PDR	Lao PDR	4	14
#C49A00	1959.5	69.7868292682927	Latvia	Europe & Central Asia (all income levels)	Latvia	Latvia	4	62
#00C094	1959.5	60.9993414634146	Lebanon	Middle East & North Africa (all income levels)	Lebanon	Lebanon	4	133
#FB61D7	1959.5	46.5009512195122	Lesotho	Sub-Saharan Africa (all income levels)	Lesotho	Lesotho	4	178
#FB61D7	1959.5	37.6482682926829	Liberia	Sub-Saharan Africa (all income levels)	Liberia	Liberia	4	179
#00C094	1959.5	46.6787317073171	Libya	Middle East & North Africa (all income levels)	Libya	Libya	4	134
#C49A00	1959.5	69.8473170731707	Lithuania	Europe & Central Asia (all income levels)	Lithuania	Lithuania	4	63
#C49A00	1959.5	68.3215609756098	Luxembourg	Europe & Central Asia (all income levels)	Luxembourg	Luxembourg	4	64
#F8766D	1959.5	65.0418292682927	Macao SAR, China	East Asia & Pacific (all income levels)	Macao SAR, China	Macao SAR, China	4	15
#C49A00	1959.5	60.7211951219512	Macedonia, FYR	Europe & Central Asia (all income levels)	Macedonia, FYR	Macedonia, FYR	4	65
#FB61D7	1959.5	39.8808780487805	Madagascar	Sub-Saharan Africa (all income levels)	Madagascar	Madagascar	4	180
#FB61D7	1959.5	37.7736341463415	Malawi	Sub-Saharan Africa (all income levels)	Malawi	Malawi	4	181
#F8766D	1959.5	59.4188292682927	Malaysia	East Asia & Pacific (all income levels)	Malaysia	Malaysia	4	16
#A58AFF	1959.5	37.4779512195122	Maldives	South Asia	Maldives	Maldives	4	152
#FB61D7	1959.5	30.3108048780488	Mali	Sub-Saharan Africa (all income levels)	Mali	Mali	4	182
#00C094	1959.5	67.6017804878049	Malta	Middle East & North Africa (all income levels)	Malta	Malta	4	135
#F8766D	1959.5	72.1414634146341	Marshall Islands	East Asia & Pacific (all income levels)	Marshall Islands	Marshall Islands	4	17
#FB61D7	1959.5	42.2319024390244	Mauritania	Sub-Saharan Africa (all income levels)	Mauritania	Mauritania	4	183
#FB61D7	1959.5	58.7538780487805	Mauritius	Sub-Saharan Africa (all income levels)	Mauritius	Mauritius	4	184
#53B400	1959.5	57.0351219512195	Mexico	Latin America & Caribbean (all income levels)	Mexico	Mexico	4	109
#F8766D	1959.5	57.5865853658537	Micronesia, Fed. Sts.	East Asia & Pacific (all income levels)	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	4	18
#C49A00	1959.5	61.8030243902439	Moldova	Europe & Central Asia (all income levels)	Moldova	Moldova	4	66
#F8766D	1959.5	48.6804390243902	Mongolia	East Asia & Pacific (all income levels)	Mongolia	Mongolia	4	19
#C49A00	1959.5	62.4055365853659	Montenegro	Europe & Central Asia (all income levels)	Montenegro	Montenegro	4	67
#00C094	1959.5	46.6150731707317	Morocco	Middle East & North Africa (all income levels)	Morocco	Morocco	4	136
#FB61D7	1959.5	35.0037073170732	Mozambique	Sub-Saharan Africa (all income levels)	Mozambique	Mozambique	4	185
#F8766D	1959.5	42.7107804878049	Myanmar	East Asia & Pacific (all income levels)	Myanmar	Myanmar	4	20
#FB61D7	1959.5	46.8803902439024	Namibia	Sub-Saharan Africa (all income levels)	Namibia	Namibia	4	186
#A58AFF	1959.5	38.4940487804878	Nepal	South Asia	Nepal	Nepal	4	153
#C49A00	1959.5	73.3926829268293	Netherlands	Europe & Central Asia (all income levels)	Netherlands	Netherlands	4	68
#F8766D	1959.5	58.6390243902439	New Caledonia	East Asia & Pacific (all income levels)	New Caledonia	New Caledonia	4	21
#F8766D	1959.5	71.2365853658537	New Zealand	East Asia & Pacific (all income levels)	New Zealand	New Zealand	4	22
#53B400	1959.5	46.9109512195122	Nicaragua	Latin America & Caribbean (all income levels)	Nicaragua	Nicaragua	4	110
#FB61D7	1959.5	37.897243902439	Niger	Sub-Saharan Africa (all income levels)	Niger	Niger	4	187
#FB61D7	1959.5	38.4964878048781	Nigeria	Sub-Saharan Africa (all income levels)	Nigeria	Nigeria	4	188
#C49A00	1959.5	73.549756097561	Norway	Europe & Central Asia (all income levels)	Norway	Norway	4	69
#00C094	1959.5	42.2736097560976	Oman	Middle East & North Africa (all income levels)	Oman	Oman	4	137
#A58AFF	1959.5	46.642756097561	Pakistan	South Asia	Pakistan	Pakistan	4	154
#F8766D	1959.5	69.0692682926829	Palau	East Asia & Pacific (all income levels)	Palau	Palau	4	23
#53B400	1959.5	60.7899756097561	Panama	Latin America & Caribbean (all income levels)	Panama	Panama	4	111
#F8766D	1959.5	38.462243902439	Papua New Guinea	East Asia & Pacific (all income levels)	Papua New Guinea	Papua New Guinea	4	24
#53B400	1959.5	63.6422195121951	Paraguay	Latin America & Caribbean (all income levels)	Paraguay	Paraguay	4	112
#53B400	1959.5	47.643243902439	Peru	Latin America & Caribbean (all income levels)	Peru	Peru	4	113
#F8766D	1959.5	57.81	Philippines	East Asia & Pacific (all income levels)	Philippines	Philippines	4	25
#C49A00	1959.5	67.6804878048781	Poland	Europe & Central Asia (all income levels)	Poland	Poland	4	70
#C49A00	1959.5	63.0365853658537	Portugal	Europe & Central Asia (all income levels)	Portugal	Portugal	4	71
#53B400	1959.5	68.9309024390244	Puerto Rico	Latin America & Caribbean (all income levels)	Puerto Rico	Puerto Rico	4	114
#00C094	1959.5	59.7569024390244	Qatar	Middle East & North Africa (all income levels)	Qatar	Qatar	4	138
#C49A00	1959.5	65.7178780487805	Romania	Europe & Central Asia (all income levels)	Romania	Romania	4	72
#C49A00	1959.5	67.4099268292683	Russian Federation	Europe & Central Asia (all income levels)	Russian Federation	Russian Federation	4	73
#FB61D7	1959.5	42.2249024390244	Rwanda	Sub-Saharan Africa (all income levels)	Rwanda	Rwanda	4	189
#F8766D	1959.5	49.969512195122	Samoa	East Asia & Pacific (all income levels)	Samoa	Samoa	4	26
#FB61D7	1959.5	50.4869756097561	Sao Tome and Principe	Sub-Saharan Africa (all income levels)	Sao Tome and Principe	Sao Tome and Principe	4	190
#00C094	1959.5	44.8748780487805	Saudi Arabia	Middle East & North Africa (all income levels)	Saudi Arabia	Saudi Arabia	4	139
#FB61D7	1959.5	38.933	Senegal	Sub-Saharan Africa (all income levels)	Senegal	Senegal	4	191
#C49A00	1959.5	71.4878048780488	Serbia	Europe & Central Asia (all income levels)	Serbia	Serbia	4	74
#FB61D7	1959.5	68.6829268292683	Seychelles	Sub-Saharan Africa (all income levels)	Seychelles	Seychelles	4	192
#FB61D7	1959.5	31.4612195121951	Sierra Leone	Sub-Saharan Africa (all income levels)	Sierra Leone	Sierra Leone	4	193
#F8766D	1959.5	65.6598292682927	Singapore	East Asia & Pacific (all income levels)	Singapore	Singapore	4	27
#53B400	1959.5	74.5439024390244	Sint Maarten (Dutch part)	Latin America & Caribbean (all income levels)	Sint Maarten (Dutch part)	Sint Maarten (Dutch part)	4	115
#C49A00	1959.5	69.9837073170732	Slovak Republic	Europe & Central Asia (all income levels)	Slovak Republic	Slovak Republic	4	75
#C49A00	1959.5	68.9780487804878	Slovenia	Europe & Central Asia (all income levels)	Slovenia	Slovenia	4	76
#F8766D	1959.5	49.3817073170732	Solomon Islands	East Asia & Pacific (all income levels)	Solomon Islands	Solomon Islands	4	28
#FB61D7	1959.5	35.9853414634146	Somalia	Sub-Saharan Africa (all income levels)	Somalia	Somalia	4	194
#FB61D7	1959.5	49.0362926829268	South Africa	Sub-Saharan Africa (all income levels)	South Africa	South Africa	4	195
#FB61D7	1959.5	61.5121951219512	South Sudan	Sub-Saharan Africa (all income levels)	South Sudan	South Sudan	4	196
#C49A00	1959.5	69.1092682926829	Spain	Europe & Central Asia (all income levels)	Spain	Spain	4	77
#A58AFF	1959.5	57.8603414634146	Sri Lanka	South Asia	Sri Lanka	Sri Lanka	4	155
#53B400	1959.5	63.9512195121951	St. Kitts and Nevis	Latin America & Caribbean (all income levels)	St. Kitts and Nevis	St. Kitts and Nevis	4	116
#53B400	1959.5	57.6486829268293	St. Lucia	Latin America & Caribbean (all income levels)	St. Lucia	St. Lucia	4	117
#53B400	1959.5	54.0289268292683	St. Vincent and the Grenadines	Latin America & Caribbean (all income levels)	St. Vincent and the Grenadines	St. Vincent and the Grenadines	4	118
#FB61D7	1959.5	41.5859268292683	Sudan	Sub-Saharan Africa (all income levels)	Sudan	Sudan	4	197
#53B400	1959.5	59.6706341463415	Suriname	Latin America & Caribbean (all income levels)	Suriname	Suriname	4	119
#FB61D7	1959.5	44.2387804878049	Swaziland	Sub-Saharan Africa (all income levels)	Swaziland	Swaziland	4	198
#C49A00	1959.5	73.0056097560976	Sweden	Europe & Central Asia (all income levels)	Sweden	Sweden	4	78
#C49A00	1959.5	71.3134146341463	Switzerland	Europe & Central Asia (all income levels)	Switzerland	Switzerland	4	79
#00C094	1959.5	52.7317317073171	Syrian Arab Republic	Middle East & North Africa (all income levels)	Syrian Arab Republic	Syrian Arab Republic	4	140
#C49A00	1959.5	56.1694146341463	Tajikistan	Europe & Central Asia (all income levels)	Tajikistan	Tajikistan	4	80
#FB61D7	1959.5	43.6538780487805	Tanzania	Sub-Saharan Africa (all income levels)	Tanzania	Tanzania	4	199
#F8766D	1959.5	55.2991951219512	Thailand	East Asia & Pacific (all income levels)	Thailand	Thailand	4	29
#F8766D	1959.5	33.7271219512195	Timor-Leste	East Asia & Pacific (all income levels)	Timor-Leste	Timor-Leste	4	30
#FB61D7	1959.5	39.5561219512195	Togo	Sub-Saharan Africa (all income levels)	Togo	Togo	4	200
#F8766D	1959.5	61.3645365853659	Tonga	East Asia & Pacific (all income levels)	Tonga	Tonga	4	31
#53B400	1959.5	63.2135365853659	Trinidad and Tobago	Latin America & Caribbean (all income levels)	Trinidad and Tobago	Trinidad and Tobago	4	120
#00C094	1959.5	48.3358048780488	Tunisia	Middle East & North Africa (all income levels)	Tunisia	Tunisia	4	141
#C49A00	1959.5	48.2708536585366	Turkey	Europe & Central Asia (all income levels)	Turkey	Turkey	4	81
#C49A00	1959.5	54.4438048780488	Turkmenistan	Europe & Central Asia (all income levels)	Turkmenistan	Turkmenistan	4	82
#FB61D7	1959.5	43.9785609756098	Uganda	Sub-Saharan Africa (all income levels)	Uganda	Uganda	4	201
#C49A00	1959.5	69.8958048780488	Ukraine	Europe & Central Asia (all income levels)	Ukraine	Ukraine	4	83
#00C094	1959.5	51.6086829268293	United Arab Emirates	Middle East & North Africa (all income levels)	United Arab Emirates	United Arab Emirates	4	142
#C49A00	1959.5	71.1268292682927	United Kingdom	Europe & Central Asia (all income levels)	United Kingdom	United Kingdom	4	84
#00B6EB	1959.5	69.7707317073171	United States	North America	United States	United States	4	147
#53B400	1959.5	67.811	Uruguay	Latin America & Caribbean (all income levels)	Uruguay	Uruguay	4	121
#C49A00	1959.5	58.8901463414634	Uzbekistan	Europe & Central Asia (all income levels)	Uzbekistan	Uzbekistan	4	85
#F8766D	1959.5	46.4874878048781	Vanuatu	East Asia & Pacific (all income levels)	Vanuatu	Vanuatu	4	32
#53B400	1959.5	58.5186829268293	Venezuela, RB	Latin America & Caribbean (all income levels)	Venezuela, RB	Venezuela, RB	4	122
#F8766D	1959.5	44.1620975609756	Vietnam	East Asia & Pacific (all income levels)	Vietnam	Vietnam	4	33
#53B400	1959.5	63.7302195121951	Virgin Islands (U.S.)	Latin America & Caribbean (all income levels)	Virgin Islands (U.S.)	Virgin Islands (U.S.)	4	123
#00C094	1959.5	68.0477317073171	West Bank and Gaza	Middle East & North Africa (all income levels)	West Bank and Gaza	West Bank and Gaza	4	143
#00C094	1959.5	37.7865609756098	Yemen, Rep.	Middle East & North Africa (all income levels)	Yemen, Rep.	Yemen, Rep.	4	144
#FB61D7	1959.5	45.1098048780488	Zambia	Sub-Saharan Africa (all income levels)	Zambia	Zambia	4	202
#FB61D7	1959.5	51.5424634146342	Zimbabwe	Sub-Saharan Africa (all income levels)	Zimbabwe	Zimbabwe	4	203
